code;name
11884;ДСТУ 8939:2019 102х16 ст20
14824;ГАРЯЧА GB/T 8162:2018 80х 4 ст20
14196;GB/T 8162:2018 25х 5 ст20
11693;ГОСТ 8734 22х3 ст20
14812;ГАРЯЧА GB/T 8162:2018 36х 4 ст20
7453;Труба проф. 100х100х 8 ст20
7704;Труба проф. 150х100х 5 ст20
14687;ДСТУ 8938:2019 180х14 ст20
14791;ГОСТ 8732 127х10 ст20
14250;GB/T 8162:2018 48х 4 ст20
10716;ДСТУ 8938:2019 121х25 ст20
12248;ГОСТ 8734 63х 5 ст20
11726;ГОСТ 8734 32х 5 ст20
14162;ДСТУ 8938:2019 121х 8 ст20
7653;Труба проф. 160х120х 5 ст20
14485;ДСТУ 8938:2019 70х16 ст45
5737;ГОСТ 8732 140х10 ст20
7566;Труба проф. 40х40х 5 ст20
10485;ДСТУ 8938:2019 133х22 ст35
7837;Труба проф. 303х303х10 ст09Г2С
7879;Труба проф. 403х203х10 ст09Г2С
8252;Труба проф. 250х150х10 ст09Г2С
14575;Труба проф. 200х200х10 стS355J2H
14583;Труба проф. 250х250х10 стS355J2H
10728;ДСТУ 8938:2019 76х 3 ст20
11743;ГОСТ 8734 38х 2 ст20
7451;Труба проф. 100х100х 6 ст20
11856;ГОСТ 8734 63х 8 ст20
13806;GB/T 8162:2018 28х 5 ст20
14818;ГАРЯЧА GB/T 8162:2018 48х 6 ст20
7630;Труба проф. 70х50х 4 ст20
10972;ДСТУ 8938:2019 152х 5 ст20
10837;ДСТУ 8938:2019 95х 6 ст20
14653;GB/T 8162:2018 20х 5 ст45
11800;ДСТУ 8939:2019 27х 4 ст20
10938;ДСТУ 8938:2019 121х30 ст35
7523;Труба проф. 80х80х 8 ст09Г2С
7724;Труба проф. 140х80х 6 ст20
11735;ГОСТ 8734 35х 5 ст10
11858;ГОСТ 8734 65х 6 ст20
7494;Труба проф. 160х160х12 ст20
11315;ДСТУ 8938:2019 325х20 ст20
