code;name;in_stock_balance;created_at;is_weight
7557;Труба проф. 42х42х 4 ст20;0.975;2026-01-01;FALSE
7558;Труба проф. 42х42х 5 ст20;1.933;2026-01-01;FALSE
7559;Труба проф. 42х42х 4 ст35;2.44;2026-01-01;FALSE
7560;Труба проф. 40х40х 3 ст09Г2С;0.015;2026-01-01;FALSE
7561;Труба проф. 40х40х 4 ст09Г2С;2.455;2026-01-01;FALSE
7562;Труба проф. 40х40х 5 ст09Г2С;0.239;2026-01-01;FALSE
7563;Труба проф. 40х40х 3 ст20;1.3;2026-02-27;FALSE
7564;Труба проф. 40х40х 4 ст20;2.345;2026-01-01;FALSE
7565;"Труба проф. 40х40х 4,5 ст20";0.861;2026-01-01;FALSE
7566;Труба проф. 40х40х 5 ст20;0.875;2026-01-01;FALSE
7567;Труба проф. 40х40х 6 ст20;0.093;2026-01-01;FALSE
7569;Труба проф. 120х100х 6 ст20;4.58;2026-01-01;FALSE
7570;Труба проф. 120х100х 8 ст20;4.38;2026-01-01;FALSE
7571;Труба проф. 120х100х10 ст20;4.995;2026-01-01;FALSE
7572;Труба проф. 120х80х 5 ст09Г2С;0.55;2026-01-01;FALSE
7573;Труба проф. 120х80х 6 ст09Г2С;4.305;2026-01-01;FALSE
7574;Труба проф. 120х80х 8 ст09Г2С;3.855;2026-01-01;FALSE
7576;Труба проф. 120х80х 5 ст20;6.47;2026-01-01;FALSE
7577;Труба проф. 120х80х 6 ст20;8.28;2026-01-01;FALSE
7578;Труба проф. 120х80х 8 ст20;3.73;2026-01-01;FALSE
7579;Труба проф. 120х80х10 ст20;3.89;2026-01-01;FALSE
7581;Труба проф. 120х60х 6 ст09Г2С;3.09;2026-01-01;FALSE
7583;Труба проф. 120х60х 5 ст20;10.31;2026-01-01;FALSE
7584;Труба проф. 120х60х 6 ст20;3.08;2026-01-01;FALSE
7585;Труба проф. 120х60х 8 ст20;1.12;2026-01-01;FALSE
7586;Труба проф. 120х60х10 ст20;0.77;2026-01-01;FALSE
7588;ГОСТ 8734 44.5х 7.1 ст17Г1С;0.052;2026-01-01;FALSE
7590;Труба проф. 120х40х 6 ст20;2.06;2026-01-01;FALSE
7592;Труба проф. 100х80х 6 ст09Г2С;0;2026-01-01;FALSE
7593;Труба проф. 100х80х 5 ст20;7.4;2026-01-01;FALSE
7594;Труба проф. 100х80х 6 ст20;8.25;2026-01-01;FALSE
7595;Труба проф. 100х80х 8 ст20;1.46;2026-01-01;FALSE
7596;Труба проф. 100х80х10 ст20;0.91;2026-01-01;FALSE
7597;Труба проф. 100х60х 4 ст09Г2С;0.18;2026-01-01;FALSE
7598;Труба проф. 100х60х 6 ст09Г2С;0.14;2026-01-01;FALSE
7599;Труба проф. 100х60х 8 ст09Г2С;2.9;2026-02-25;FALSE
7600;Труба проф. 100х60х 4 ст20;1.96;2026-01-01;FALSE
7601;Труба проф. 100х60х 5 ст20;3.34;2026-01-01;FALSE
7602;Труба проф. 100х60х 6 ст20;1.935;2026-01-01;FALSE
7603;Труба проф. 100х60х 8 ст20;2.215;2026-01-01;FALSE
7604;Труба проф. 100х50х 5 ст09Г2С;7.85;2026-01-01;FALSE
7605;Труба проф. 100х50х 6 ст09Г2С;0.02;2026-01-01;FALSE
7607;Труба проф. 100х50х 5 ст20;0.11;2026-01-01;FALSE
7608;Труба проф. 100х50х 6 ст20;2.995;2026-01-01;FALSE
